,,,duzentos,200,,boa noite,good evening / night,,,,,,mesa,table,,escolher,to choose,,cinzento/a,grey,,,
,,,trezentos,300,,adeus,goodbye,,,,,,cadeira,chair,,decidir,to decide,,roxo/a,purple,,,
,,,quatrocentos,400,,tchau,bye,,,,,,cama,bed,,mudar,to change / to move,,,,,,
,,,quinhentos,500,,até logo,see you later,,,,,,,,,cozinhar,to cook,,quente,hot,,,
,,,seiscentos,600,,até já,see you soon,,,,,,comida,food,,lavar,to wash,,frio/a,cold,,,
,,,setecentos,700,,até amanhã,see you tomorrow,,,,,,água,water,,limpar,to clean,,fresco/a,cool / fresh,,,
,,,oitocentos,800,,obrigado/a,thank you (m/f),,,,,,café,coffee,,almoçar,to have lunch,,seco/a,dry,,,
,,,novecentos,900,,por favor,please,,,,,,chá,tea,,jantar,to have dinner,,húmido/a,humid / damp,,,
,,,mil,1000,,desculpa / desculpe,sorry (inf / form),,,,,,pão,bread,,telefonar,to call (by phone),,ensolarado/a,sunny,,,
,,,primeiro,1st,,com licença,excuse me,,,,,,leite,milk,,convidar,to invite,,nublado/a,cloudy,,,
,,,segundo,2nd,,de nada,you're welcome,,,,,,fruta,fruit,,receber,to receive,,chuvoso/a,rainy,,,
,,,terceiro,3rd,,como estás? / como está?,how are you? (inf / form),,,,,,legumes,vegetables,,mandar,to send,,,,,,
,,,quarto,4th,,tudo bem?,all good?,,,,,,carne,meat,,sentir-se,to feel,,doce,sweet,,,
,,,quinto,5th,,prazer em conhecer-te,pleased to meet you (inf),,,,,,peixe,fish,,doer,to hurt,,salgado/a,salty,,,
,,,sexto,6th,,prazer em conhecê-lo/la,pleased to meet you (form),,,,,,arroz,rice,,tentar,to try,,amargo/a,bitter,,,
,,,sétimo,7th,,,,,,,,,batata,potato,,conseguir,to manage / to be able,,picante,spicy,,,
,,,oitavo,8th,,,,,,,,,ovo,egg,,costumar,to usually (do),,fresco/a,fresh,,,
,,,nono,9th,,,,,,,,,queijo,cheese,,demorar,to take (time),,gelado/a,frozen / very cold,,,
,,,décimo,10th,,,,,,,,,sopa,soup,,chover,to rain,,delicioso/a,delicious,,,
,,,,,,,,,,,,,bolo,cake,,apresentar,to introduce,,saboroso/a,tasty,,,
,,,,,,,,,,,,,açúcar,sugar,,descansar,to rest,,,,,,
,,,,,,,,,,,,,sal,salt,,subir,to go up,,caro/a,expensive,,,
,,,,,,,,,,,,,vinho,wine,,descer,to go down,,barato/a,cheap,,,
,,,,,,,,,,,,,cerveja,beer,,deixar,to leave / to let,,grátis,free (no cost),,,
,,,,,,,,,,,,,sumo,juice,,parecer,to seem,,,,,,
,,,,,,,,,,,,,manteiga,butter,,nascer,to be born,,rápido/a,fast,,,
,,,,,,,,,,,,,sanduiche,sandwich,,apanhar,to catch / to pick up,,lento/a,slow,,,
,,,,,,,,,,,,,salada,salad,,gostar mais de,to prefer,,limpo/a,clean,,,
,,,,,,,,,,,,,massa,pasta,,lembrar-se,to remember,,sujo/a,dirty,,,
,,,,,,,,,,,,,chocolate,chocolate,,jogar,to play,(sport / game),,,,,
,,,,,,,,,,,,,,,,pôr,to put,"irregular, essential",claro/a,light / clear,,,
,,,,,,,,,,,,,pequeno-almoço,breakfast,,vestir,to wear / put on,,escuro/a,dark,,,
,,,,,,,,,,,,,almoço,lunch,,olhar,to look,,,,,,
,,,,,,,,,,,,,jantar,dinner,,cantar,to sing,,perto de,near to,,,
,,,,,,,,,,,,,restaurante,restaurant,,dançar,to dance,,longe de,far from,,,
,,,,,,,,,,,,,ementa,menu,,rir,to laugh,,,,,,
,,,,,,,,,,,,,prato,plate / dish,,sorrir,to smile,,passado/a,last / past,,,
,,,,,,,,,,,,,copo,glass,,chorar,to cry,,próximo/a,next,,,
,,,,,,,,,,,,,garrafa,bottle,,amar,to love,,último/a,last / final,,,
,,,,,,,,,,,,,conta,bill / account,,odiar,to hate,,primeiro/a,first,,,
,,,,,,,,,,,,,,,,beijar,to kiss,,,,,,
,,,,,,,,,,,,,dinheiro,money,,preferir,to prefer,standard alt. to gostar mais de,certo/a,right / correct,,,
,,,,,,,,,,,,,preço,price,,esquecer(-se de),to forget,,errado/a,wrong,,,
,,,,,,,,,,,,,troco,change (money),,tocar,to touch / to play (instrument),,verdadeiro/a,true,,,
,,,,,,,,,,,,,loja,shop,,oferecer,to offer,,falso/a,false,,,
,,,,,,,,,,,,,supermercado,supermarket,,nadar,to swim,,igual,equal / same,,,
,,,,,,,,,,,,,mercado,market,,morrer,to die,,diferente,different,,,
,,,,,,,,,,,,,banco,bank,,,,,mesmo/a,same,,,
,,,,,,,,,,,,,,,,,,,próprio/a,own,,,
,,,,,,,,,,,,,correios,post office,,,,,possível,possible,,,
,,,,,,,,,,,,,farmácia,pharmacy,,,,,impossível,impossible,,,
,,,,,,,,,,,,,hospital,hospital,,,,,,,,,
,,,,,,,,,,,,,igreja,church,,,,,português/portuguesa,Portuguese,,,
,,,,,,,,,,,,,museu,museum,,,,,brasileiro/a,Brazilian,,,
,,,,,,,,,,,,,cinema,cinema,,,,,espanhol(a),Spanish,,,
,,,,,,,,,,,,,teatro,theatre,,,,,francês/francesa,French,,,
,,,,,,,,,,,,,biblioteca,library,,,,,inglês/inglesa,English,,,
,,,,,,,,,,,,,,,,,,,alemão/alemã,German,,,
,,,,,,,,,,,,,saúde,health,,,,,italiano/a,Italian,,,
,,,,,,,,,,,,,médico/a,doctor,,,,,americano/a,American,,,
,,,,,,,,,,,,,enfermeiro/a,nurse,,,,,chinês/chinesa,Chinese,,,
,,,,,,,,,,,,,dor,pain,,,,,africano/a,African,,,
,,,,,,,,,,,,,remédio,medicine,,,,,,,,,
,,,,,,,,,,,,,febre,fever,,,,,,,,,
,,,,,,,,,,,,,tosse,cough,,,,,,,,,
,,,,,,,,,,,,,gripe,flu,,,,,,,,,
,,,,,,,,,,,,,constipação,cold,,,,,,,,,
,,,,,,,,,,,,,doença,illness / disease,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,corpo,body,,,,,,,,,
,,,,,,,,,,,,,cabeça,head,,,,,,,,,
,,,,,,,,,,,,,mão,hand,,,,,,,,,
,,,,,,,,,,,,,pé,foot,,,,,,,,,
,,,,,,,,,,,,,braço,arm,,,,,,,,,
,,,,,,,,,,,,,perna,leg,,,,,,,,,
,,,,,,,,,,,,,olho,eye,,,,,,,,,
,,,,,,,,,,,,,boca,mouth,,,,,,,,,
,,,,,,,,,,,,,dente,tooth,,,,,,,,,
,,,,,,,,,,,,,cabelo,hair,,,,,,,,,
,,,,,,,,,,,,,cara,face,,,,,,,,,
,,,,,,,,,,,,,nariz,nose,,,,,,,,,
,,,,,,,,,,,,,orelha,ear (outer),,,,,,,,,
,,,,,,,,,,,,,oivido,ear (inner),,,,,,,,,
,,,,,,,,,,,,,pescoço,neck,,,,,,,,,
,,,,,,,,,,,,,costas,back,,,,,,,,,
,,,,,,,,,,,,,coração,heart,,,,,,,,,
,,,,,,,,,,,,,dedo,finger,,,,,,,,,
,,,,,,,,,,,,,joelho,knee,,,,,,,,,
,,,,,,,,,,,,,ombro,shoulder,,,,,,,,,
,,,,,,,,,,,,,barriga,belly,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,fome,hunger,,,,,,,,,
,,,,,,,,,,,,,sede,thirst,,,,,,,,,
,,,,,,,,,,,,,sono,sleep / sleepiness,,,,,,,,,
,,,,,,,,,,,,,pressa,hurry,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,carro,car,,,,,,,,,
,,,,,,,,,,,,,autocarro,bus,,,,,,,,,
,,,,,,,,,,,,,comboio,train,,,,,,,,,
,,,,,,,,,,,,,avião,plane,,,,,,,,,
,,,,,,,,,,,,,metro,metro / subway,,,,,,,,,
,,,,,,,,,,,,,bicicleta,bicycle,,,,,,,,,
,,,,,,,,,,,,,táxi,taxi,,,,,,,,,
,,,,,,,,,,,,,bilhete,ticket,,,,,,,,,
,,,,,,,,,,,,,paragem,(bus) stop,,,,,,,,,
,,,,,,,,,,,,,estação,station,,,,,,,,,
,,,,,,,,,,,,,aeroporto,airport,,,,,,,,,
,,,,,,,,,,,,,viagem,trip / journey,,,,,,,,,
,,,,,,,,,,,,,férias,holidays,,,,,,,,,
,,,,,,,,,,,,,hotel,hotel,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,cidade,city,,,,,,,,,
,,,,,,,,,,,,,país,country,,,,,,,,,
,,,,,,,,,,,,,rua,street,,,,,,,,,
,,,,,,,,,,,,,avenida,avenue,,,,,,,,,
,,,,,,,,,,,,,praça,square,,,,,,,,,
,,,,,,,,,,,,,ponte,bridge,,,,,,,,,
,,,,,,,,,,,,,parque,park,,,,,,,,,
,,,,,,,,,,,,,jardim,garden,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,praia,beach,,,,,,,,,
,,,,,,,,,,,,,mar,sea,,,,,,,,,
,,,,,,,,,,,,,rio,river,,,,,,,,,
,,,,,,,,,,,,,montanha,mountain,,,,,,,,,
,,,,,,,,,,,,,campo,countryside,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,animal,animal,,,,,,,,,
,,,,,,,,,,,,,cão,dog,,,,,,,,,
,,,,,,,,,,,,,gato,cat,,,,,,,,,
,,,,,,,,,,,,,flor,flower,,,,,,,,,
,,,,,,,,,,,,,árvore,tree,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,roupa,clothes,,,,,,,,,
,,,,,,,,,,,,,camisa,shirt,,,,,,,,,
,,,,,,,,,,,,,camisola,sweater / T-shirt,,,,,,,,,
,,,,,,,,,,,,,calças,trousers,,,,,,,,,
,,,,,,,,,,,,,saia,skirt,,,,,,,,,
,,,,,,,,,,,,,vestido,dress,,,,,,,,,
,,,,,,,,,,,,,casaco,coat / jacket,,,,,,,,,
,,,,,,,,,,,,,sapato,shoe,,,,,,,,,
,,,,,,,,,,,,,chapéu,hat,,,,,,,,,
,,,,,,,,,,,,,meias,socks,,,,,,,,,
,,,,,,,,,,,,,cinto,belt,,,,,,,,,
,,,,,,,,,,,,,ténis,sneakers,,,,,,,,,
,,,,,,,,,,,,,botas,boots,,,,,,,,,
,,,,,,,,,,,,,cor,colour,,,,,,,,,
,,,,,,,,,,,,,tamanho,size,,,,,,,,,
,,,,,,,,,,,,,mala,bag / handbag,,,,,,,,,
,,,,,,,,,,,,,carteira,wallet,,,,,,,,,
,,,,,,,,,,,,,óculos,glasses,,,,,,,,,
,,,,,,,,,,,,,relógio,watch / clock,,,,,,,,,
,,,,,,,,,,,,,chave,key,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,telemóvel,mobile phone,,,,,,,,,
,,,,,,,,,,,,,telefone,phone,,,,,,,,,
,,,,,,,,,,,,,computador,computer,,,,,,,,,
,,,,,,,,,,,,,internet,internet,,,,,,,,,
,,,,,,,,,,,,,email,email,,,,,,,,,
,,,,,,,,,,,,,mensagem,message,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,livro,book,,,,,,,,,
,,,,,,,,,,,,,jornal,newspaper,,,,,,,,,
,,,,,,,,,,,,,revista,magazine,,,,,,,,,
,,,,,,,,,,,,,carta,letter,,,,,,,,,
,,,,,,,,,,,,,papel,paper,,,,,,,,,
,,,,,,,,,,,,,caneta,pen,,,,,,,,,
,,,,,,,,,,,,,lápis,pencil,,,,,,,,,
